721: 858ms
722: 859ms
723: 859ms
724: 861ms
725: 862ms
726: 862ms
727: 862ms
728: 862ms
729: 863ms
730: 863ms
731: 863ms
732: 863ms
733: 863ms
734: 863ms
735: 864ms
736: 864ms
737: 864ms
738: 864ms
739: 864ms
740: 864ms
741: 864ms
742: 865ms
743: 865ms
744: 865ms
745: 865ms
746: 865ms
747: 865ms
748: 866ms
749: 866ms
750: 866ms
751: 866ms
752: 866ms
753: 866ms
754: 866ms
755: 867ms
756: 867ms
757: 867ms
758: 867ms
759: 867ms
760: 867ms
761: 867ms
762: 868ms
763: 868ms
764: 868ms
765: 868ms
766: 868ms
767: 868ms
768: 868ms
769: 869ms
770: 869ms
771: 869ms
772: 869ms
773: 869ms
774: 869ms
775: 870ms
776: 870ms
777: 870ms
778: 870ms
779: 871ms
780: 871ms
781: 871ms
782: 871ms
783: 871ms
784: 871ms
785: 871ms
786: 871ms
787: 872ms
788: 872ms
789: 872ms
790: 872ms
791: 872ms
792: 872ms
793: 872ms
794: 873ms
795: 873ms
796: 873ms
797: 873ms
798: 873ms
799: 873ms
800: 873ms
801: 874ms
802: 874ms
803: 874ms
804: 874ms
805: 874ms
806: 874ms
807: 874ms
808: 875ms
809: 875ms
810: 875ms
811: 875ms
812: 875ms
813: 875ms
814: 875ms
815: 878ms
816: 878ms
817: 879ms
818: 879ms
819: 879ms
820: 879ms
821: 879ms
822: 879ms
823: 879ms
824: 880ms
825: 880ms
826: 880ms
827: 880ms
828: 880ms
829: 880ms
830: 880ms
831: 881ms
832: 881ms
833: 881ms
834: 881ms
835: 881ms
836: 881ms
837: 881ms
838: 881ms
839: 882ms
840: 882ms
841: 882ms
842: 882ms
843: 882ms
844: 882ms
845: 882ms
846: 882ms
847: 883ms
848: 883ms
849: 883ms
850: 883ms
851: 883ms
852: 883ms
853: 883ms
854: 883ms
855: 884ms
856: 884ms
857: 884ms
858: 884ms
859: 884ms
860: 884ms
861: 884ms
862: 884ms
863: 885ms
864: 885ms
865: 885ms
866: 885ms
867: 885ms
868: 885ms
869: 885ms
870: 885ms
871: 885ms
872: 886ms
873: 886ms
874: 886ms
875: 886ms
876: 886ms
877: 886ms
878: 886ms
879: 886ms
880: 886ms
881: 887ms
882: 887ms
883: 887ms
884: 887ms
885: 887ms
886: 887ms
887: 887ms
888: 888ms
889: 888ms
890: 888ms
891: 888ms
892: 888ms
893: 888ms
894: 888ms
906: 888ms
907: 888ms
908: 889ms
909: 889ms
910: 889ms
911: 889ms
912: 889ms
913: 889ms
914: 889ms
915: 889ms
916: 890ms
917: 890ms
918: 890ms
919: 890ms
920: 890ms
921: 890ms
922: 890ms
923: 890ms
924: 891ms
925: 891ms
926: 891ms
927: 891ms
928: 891ms
929: 891ms
930: 891ms
931: 891ms
932: 892ms
933: 892ms
934: 892ms
935: 892ms
936: 892ms
937: 892ms
938: 892ms
939: 894ms
940: 895ms
941: 895ms
942: 895ms
943: 895ms
944: 895ms
945: 895ms
946: 895ms
947: 895ms
955: 896ms
956: 896ms
957: 896ms
958: 896ms
959: 896ms
960: 896ms
961: 896ms
962: 896ms
963: 897ms
964: 897ms
965: 897ms
966: 897ms
967: 897ms
968: 897ms
969: 897ms
970: 897ms
971: 898ms
972: 898ms
973: 898ms
974: 898ms
975: 898ms
976: 898ms
977: 898ms
978: 899ms
979: 899ms
980: 899ms
981: 899ms
982: 899ms
983: 899ms
984: 899ms
985: 900ms
986: 900ms
987: 900ms
988: 900ms
989: 900ms
990: 900ms
991: 900ms
992: 900ms
993: 901ms
994: 901ms
995: 901ms
996: 901ms
997: 901ms
998: 901ms
999: 908ms
1000: 908ms
1001: 909ms
1002: 909ms
1003: 909ms
1004: 909ms
1005: 909ms
1006: 909ms
1007: 910ms
1008: 910ms
1009: 910ms
1010: 910ms
1011: 910ms
1012: 910ms
1013: 910ms
1014: 910ms
1015: 910ms
1016: 911ms
1017: 911ms
1018: 911ms
