767: 281ms
768: 281ms
769: 282ms
770: 282ms
771: 282ms
772: 282ms
773: 282ms
774: 282ms
775: 283ms
776: 283ms
777: 283ms
778: 283ms
779: 288ms
780: 288ms
781: 288ms
782: 288ms
783: 288ms
784: 289ms
785: 289ms
786: 289ms
787: 289ms
788: 289ms
789: 289ms
790: 290ms
791: 290ms
792: 290ms
793: 290ms
794: 290ms
795: 290ms
796: 290ms
797: 291ms
798: 291ms
799: 291ms
800: 291ms
801: 291ms
802: 291ms
803: 292ms
804: 292ms
805: 292ms
806: 292ms
807: 292ms
808: 292ms
809: 292ms
810: 292ms
877: 293ms
878: 293ms
879: 293ms
880: 293ms
881: 293ms
882: 293ms
883: 293ms
884: 293ms
885: 293ms
886: 293ms
887: 294ms
888: 294ms
889: 294ms
890: 294ms
891: 295ms
892: 295ms
893: 295ms
894: 295ms
895: 295ms
896: 295ms
897: 296ms
898: 296ms
899: 296ms
900: 296ms
901: 296ms
902: 296ms
903: 297ms
904: 297ms
905: 297ms
906: 297ms
907: 297ms
908: 297ms
909: 298ms
910: 298ms
911: 298ms
912: 298ms
913: 298ms
914: 299ms
915: 299ms
916: 299ms
917: 299ms
918: 299ms
1201: 348ms
1202: 349ms
1203: 351ms
1204: 352ms
1205: 352ms
1206: 352ms
1207: 352ms
1208: 352ms
1209: 352ms
1210: 353ms
1211: 353ms
1212: 353ms
1213: 353ms
1214: 353ms
1215: 353ms
1216: 354ms
1217: 354ms
1218: 354ms
1219: 354ms
1220: 354ms
1221: 354ms
1222: 354ms
1223: 354ms
1224: 355ms
1225: 355ms
1226: 355ms
1227: 355ms
1228: 355ms
1229: 355ms
1230: 356ms
1231: 356ms
1232: 356ms
1233: 356ms
1234: 356ms
1235: 356ms
1236: 356ms
1237: 357ms
1238: 357ms
1239: 357ms
1240: 357ms
1241: 357ms
1242: 357ms
1243: 357ms
1244: 358ms
1245: 358ms
1246: 358ms
1247: 358ms
1248: 358ms
1249: 358ms
1250: 359ms
1251: 359ms
1252: 366ms
1253: 366ms
1254: 366ms
1255: 366ms
1256: 366ms
1257: 368ms
1258: 369ms
1259: 369ms
1260: 370ms
1261: 370ms
1262: 370ms
1263: 371ms
1264: 371ms
1265: 371ms
1266: 372ms
1267: 372ms
1268: 372ms
1269: 377ms
1270: 378ms
1271: 378ms
1272: 378ms
1273: 378ms
1274: 378ms
1275: 378ms
1276: 379ms
1277: 379ms
1278: 379ms
1279: 379ms
1280: 379ms
1281: 379ms
1282: 379ms
1283: 379ms
1284: 380ms
1285: 380ms
1286: 380ms
1287: 380ms
1288: 380ms
1289: 381ms
1290: 381ms
1291: 381ms
1292: 381ms
1293: 381ms
1294: 381ms
1295: 381ms
1296: 382ms
1297: 382ms
1298: 382ms
1299: 382ms
1300: 382ms
1301: 382ms
1302: 382ms
1303: 383ms
1304: 383ms
1305: 383ms
1306: 383ms
1307: 383ms
1308: 383ms
1309: 383ms
1310: 383ms
1311: 383ms
1312: 389ms
1313: 389ms
1314: 389ms
1315: 389ms
1316: 389ms
1317: 391ms
1318: 391ms
1319: 391ms
1320: 392ms
1321: 392ms
1322: 392ms
1323: 397ms
1324: 397ms
1325: 397ms
1326: 397ms
1327: 397ms
1328: 397ms
1329: 398ms
1330: 398ms
1331: 398ms
1332: 398ms
1333: 398ms
1334: 398ms
1335: 398ms
1336: 398ms
1337: 398ms
1338: 398ms
1339: 399ms
1340: 399ms
1341: 399ms
1342: 399ms
1343: 399ms
1344: 399ms
1345: 402ms
1346: 402ms
1347: 402ms
1348: 402ms
1349: 402ms
1350: 402ms
1351: 402ms
1352: 402ms
1353: 402ms
1354: 403ms
1355: 403ms
1356: 403ms
1357: 403ms
1358: 403ms
1359: 403ms
1360: 403ms
1361: 403ms
1362: 403ms
1363: 404ms
1364: 404ms
1365: 404ms
1366: 404ms
1367: 404ms
1368: 407ms
1369: 408ms
1370: 408ms
1371: 408ms
1372: 408ms
1373: 408ms
1374: 408ms
1375: 408ms
1376: 409ms
1377: 409ms
1378: 409ms
1379: 409ms
1380: 409ms
1381: 409ms
1382: 409ms
1383: 409ms
1384: 409ms
1385: 409ms
1386: 409ms
1387: 410ms
1388: 410ms
1389: 410ms
1390: 410ms
1391: 410ms
1392: 410ms
1393: 410ms
1394: 410ms
1395: 411ms
1396: 411ms
1397: 411ms
1398: 411ms
1399: 411ms
1400: 411ms
1401: 411ms
1402: 411ms
1403: 411ms
1404: 412ms
1405: 412ms
1406: 412ms
1407: 412ms
1408: 412ms
1409: 412ms
1410: 412ms
1699: 412ms
1700: 412ms
